vaga,salario_estimado,descricao,nota,nome_empresa,localizacao,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita
Data Analytics Engineer,$94K - $183K (Glassdoor est.),"Description
Job Description:
The Government Health and Safety Operation has an opening for a Data Analytics Engineer position to support a large healthcare contract in Baltimore.
The candidate will be responsible for managing and delivering large complex engagements which identify, design, and implement creative business and technology services. The candidate will execute and manage lifecycle of data management: data warehouse/storage, data extraction, data blending, data analytics and data reporting/visualizations and will have experience designing and developing complex data analytics platform, Web APIs to consume data and deploying the solutions in a cloud environment.
Ineligible
0
Yes, 50%
Public Trust
No
40
Day
Professional
Data Scientist",3.9,"Leidos
3.9","Windsor Mill, MD",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist,$94K - $183K (Glassdoor est.),"Our client is a Luxury German Automobile manufacturer specializing in high-performance Sports, SUVs and Electric automobiles and is a global leader in this market. This is an opportunity to be part of this organization and brand by joining and driving is Digital Transformation and Innovation team
Role:
This role will evolve into a hybrid role - working from home & in the office - so proximity to ATL or being willing to relocate is essential
We are looking for a Data Scientist to join our cross-functional Data Center of Excellence team. As part of the newly formed team consisting of a Data Architect/Engineer, Program Manager and Product Owner, they will be working to leverage and increase data science across our customer journey.
What they will do:",3.5,"CORESTAFF Services
3.5","Hapeville, GA",201 to 500 Employees,1998,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Senior Data Analyst,$94K - $183K (Glassdoor est.),"Job Summary:
The Sales Forecast Analyst will review data provided by sales representatives, analyzing and revising the data to deliver accurate projections about market and business conditions, anticipated production levels, and other factors.
Duties/Responsibilities:
Evaluates sales forecast data, which may include forecasts provided by representatives, districts, regions, and the organization as a whole; modifies data by changing business and market conditions.
Analyzes data, makes recommendations and comments, and presents forecast to leadership team for business planning and product development.
Regularly reviews sales databases, adding or maintaining new data as available.",2.1,"Plaid Enterprises, Inc,
2.1","Norcross, GA",201 to 500 Employees,1992,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$50 to $100 million (USD)
"Scientist I/II/III/IV, Quality Control",$94K - $183K (Glassdoor est.),"Jubilant HollisterStier LLC provides a complete range of services to support the pharmaceutical and biopharmaceutical industries. The Allergy business is a worldwide leader in the manufacture of allergenic extracts, targeted primarily at treating allergies and asthma. Jubilant HollisterStier is also a nationally recognized contract manufacturer of sterile injectable vials, and lyophilized products. Jubilant HollisterStier is owned by Jubilant Life Sciences.
The QC Scientist I/II/III performs the analysis on allergenic and client components, raw materials, intermediates, and finished products following written procedures, providing the data required to determine raw material/product disposition. Essential responsibilities include:
Analyze raw materials, in-process product, or finished product according to established procedures and as directed by the Supervisor.
Record results and other salient data in the prescribed manner to meet regulatory requirements and provide information basic to product disposition and shelf-life projections.",3.7,"Jubilant HollisterStier Spokane
3.7","Spokane, WA",5001 to 10000 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Clinical Data Scientist – Wearable Digital Therapeutics,$94K - $183K (Glassdoor est.),"Revibe is a digital therapeutics startup focused on leveraging wearable technologies and machine learning to improve focus, attention and learning in children with ADHD. We are a fun, tight-knit team who shares a collective passion for innovation, pushing boundaries and leveraging our skills to do good for others through technology. We believe in rooting for the underdog, in never saying never and that every person deserves a chance to experience success, no matter what challenges they may face.
Led by a successful serial entrepreneur, Revibe is now expanding the team in several areas; for this position, we are looking for a fun, energetic, well-rounded professional who is versed in areas of data science and statistics (who says data scientists can’t be fun?) to help us level the playing field through technology. You will work collaboratively with key members at Revibe who oversee areas of science, technology and innovation, to help cultivate unique data, generate insights and create new algorithms using ML/DNN.
Specific Activities:





Apply Now!",-1.0,Revibe Technologies,North Carolina,-1,-1,-1,-1,-1,-1
High Performance Computing (HPC) Computer Scientist,$94K - $183K (Glassdoor est.),"Travel Required: Less than 10%
Public Trust: None
Requisition Type: Regular
At GDIT, people are our differentiator. As a Senior HPC (High Performance Computing) Computational Scientist you will be trusted to support our HPCMP PET program with locations across the USA.
We are a part of the Department of Defense (DoD) High Performance Computing Modernization Program (HPCMP) User Productivity Enhancement and Training (PET) initiative. PET enhances the capability and productivity of the HPCMP community through training, collaboration, tool and software development, technology transfer, and outreach.
We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.",3.8,"General Dynamics Information Technology
3.8","Wright Patterson AFB, OH",10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$2 to $5 billion (USD)
Geospatial Data Scientist,$94K - $183K (Glassdoor est.),"Description
Job Description:
Innovate and create at Leidos! We have no shortage of challenging technical and research problems. Join the Leidos team and apply your talents to solve them.
The Leidos Research Support Team supporting the National Energy Technology Laboratory is seeking a Geospatial Research Scientist to join our Team in Albany, OR. This opportunity will allow side by side execution of research with world-class scientists and engineers using state of the art equipment to contribute to new areas of basic and applied research.
The U.S. Department of Energy’s National Energy Technology Laboratory (NETL) is a multi-disciplinary, scientific, and technical-oriented national laboratory. NETL produces technological solutions for America’s energy challenges. From developing creative innovations and efficient energy systems that make coal more competitive, to advancing technologies that enhance oil and natural gas extraction and transmission processes, NETL research is providing breakthroughs and discoveries that support home-grown energy initiatives, stimulate a growing economy, and improve the health, safety, and security of all Americans. Highly skilled men and women at three NETL research sites – Albany, Ore., Morgantown, W.Va., and Pittsburgh, Pa. – conduct a broad range of research activities that support DOE’s mission to advance the national, economic, and energy security of the United States.
Ineligible
No
None
No
40
Day
Professional
Research Scientist",3.9,"Leidos
3.9","Albany, OR",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Junior Natural Language Processing Data Scientist,$94K - $183K (Glassdoor est.),"Description
Job Description:
Looking for work life balance working from home doing Natural Language Processing? Look no further as we have just the job for you!
Leidos is looking for Data Scientists who want to be responsible for the collecting, cleaning and munging of data in ways to determine the value of the data and extract that value for discovery and decision support. Our data scientist are part detectives and business analysis. The detective work comes in handy when parsing, clustering, and stratifying the data to find and amplify signals in the data. The business analysis is used to determine what signals they should look for based their understanding of the client’s business goals for collecting the data.




Eligible
$5000.00
Yes, 100%
None
Yes, 10% of the time
40
Day
Professional
Data Scientist
Pay Range $54,600.00 - $84,000.00 - $113,400.00",3.9,"Leidos
3.9","Reston, VA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist,$94K - $183K (Glassdoor est.),"We currently have a need for a Data Scientist to help our Federal client in facilitating and maturing a Data Analytics program within an Office of the Chief Data Officer (OCDO). This involves ensuring that strategy and vision of the Office of Chief Data Officer (OCDO) is delivered within expectations in the Washington, DC/Camp Springs, Maryland area.
Responsibilities:
Independently and as part of a project team, develops data science solutions that are highly performant, scalable, repeatable, effective, and meet the requirements and expectations of the business decision-makers and stakeholders.
Identifies, recommends, implements, tests, and delivers analytical methodology to resolve, collect, process, and analyze large data sets for data analytics projects as defined by organizational strategy and priorities.",-1.0,KYMadvisors,"Camp Springs, MD",-1,-1,-1,-1,-1,-1
Senior Data Scientist - Travel & Tourism,$81K - $163K (Glassdoor est.),"MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.
Description
The Duties and Responsibilities of the Senior Data Scientist includes but are not limited to
Owning algorithms on their platform which maximize the business objectives
Working with machine learning models to improve UX
Using analytics to investigate trends and identify new opportunities from those trends",3.6,"Michael Page
3.6","Boston, MA",201 to 500 Employees,-1,Company - Private,Security Services,Business Services,Unknown / Non-Applicable
FULLY REMOTE-SR. Data Scientist- Python,$81K - $163K (Glassdoor est.),"FULLY REMOTE-SR. Data Scientist- Python
If you are a Data Scientist with experience, please read on!
What You Will Be Doing
Build and maintain data foundations, metrics and dashboards to monitor the performance of our business in every function, and extract actionable insights
Apply quantitative analysis, data mining, and presentation of data to fuel business growth and drive customer success
Design and analyze experiments to test new product ideas or go to market strategies; Convert the results into actionable recommendations
Build data products to improve operational efficiencies organizationally to scale with a hyper growth start-up








All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",4.1,"CyberCoders
4.1","Austin, TX",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Junior Natural Language Processing Data Scientist,$81K - $163K (Glassdoor est.),"Description
Job Description:
Looking for work life balance working from home doing Natural Language Processing? Look no further as we have just the job for you!
Leidos is looking for Data Scientists who want to be responsible for the collecting, cleaning and munging of data in ways to determine the value of the data and extract that value for discovery and decision support. Our data scientist are part detectives and business analysis. The detective work comes in handy when parsing, clustering, and stratifying the data to find and amplify signals in the data. The business analysis is used to determine what signals they should look for based their understanding of the client’s business goals for collecting the data.




Eligible
$5000.00
Yes, 100%
None
Yes, 10% of the time
40
Day
Professional
Data Scientist
Pay Range $54,600.00 - $84,000.00 - $113,400.00",3.9,"Leidos
3.9","Reston, VA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist,$81K - $163K (Glassdoor est.),"We currently have a need for a Data Scientist to help our Federal client in facilitating and maturing a Data Analytics program within an Office of the Chief Data Officer (OCDO). This involves ensuring that strategy and vision of the Office of Chief Data Officer (OCDO) is delivered within expectations in the Washington, DC/Camp Springs, Maryland area.
Responsibilities:
Independently and as part of a project team, develops data science solutions that are highly performant, scalable, repeatable, effective, and meet the requirements and expectations of the business decision-makers and stakeholders.
Identifies, recommends, implements, tests, and delivers analytical methodology to resolve, collect, process, and analyze large data sets for data analytics projects as defined by organizational strategy and priorities.",-1.0,KYMadvisors,"Camp Springs, MD",-1,-1,-1,-1,-1,-1
Geospatial Data Scientist,$81K - $163K (Glassdoor est.),"Description
Job Description:
Innovate and create at Leidos! We have no shortage of challenging technical and research problems. Join the Leidos team and apply your talents to solve them.
The Leidos Research Support Team supporting the National Energy Technology Laboratory is seeking a Geospatial Research Scientist to join our Team in Albany, OR. This opportunity will allow side by side execution of research with world-class scientists and engineers using state of the art equipment to contribute to new areas of basic and applied research.
The U.S. Department of Energy’s National Energy Technology Laboratory (NETL) is a multi-disciplinary, scientific, and technical-oriented national laboratory. NETL produces technological solutions for America’s energy challenges. From developing creative innovations and efficient energy systems that make coal more competitive, to advancing technologies that enhance oil and natural gas extraction and transmission processes, NETL research is providing breakthroughs and discoveries that support home-grown energy initiatives, stimulate a growing economy, and improve the health, safety, and security of all Americans. Highly skilled men and women at three NETL research sites – Albany, Ore., Morgantown, W.Va., and Pittsburgh, Pa. – conduct a broad range of research activities that support DOE’s mission to advance the national, economic, and energy security of the United States.
Ineligible
No
None
No
40
Day
Professional
Research Scientist",3.9,"Leidos
3.9","Albany, OR",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Microwave Research Scientist,$81K - $163K (Glassdoor est.),"Description
Job Description:
Leidos is seeking a Microwave Research Engineer for our NETL Morgantown, WV Site. The successful candidate will be a post-doctoral or early-career researcher for professional support with a focus on investigating catalysts to provide economical and clean coal (or coal/biomass) derived value-added fuels. The candidate should possess knowledge of and practical experience with state-of-the-art design and characterization for conventional and non-conventional (including microwave based) catalytic reactions. Experience in materials design, synthesis, and pre- and post-run characterization of catalysts is desired.
Location: Morgantown, VA
Ineligible
No
None
No
40
Day
Professional
Research Scientist",3.9,"Leidos
3.9","Morgantown, WV",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Heterogeneous Catalysis Scientist,$81K - $163K (Glassdoor est.),"Description
Job Description:
Leidos is seeking a Heterogeneous Catalysis Scientist for our NETL Morgantown, WV site. The successful candidate will be a post-doctoral or early-career researcher with experience in heterogeneous catalysis with expertise in mixed metal oxide chemistry – particularly in the specialized research and development of these materials for hydrocarbon conversion reactions. Expertise is also desired in the areas of materials synthesis, characterization (e.g. XRD, XPS, SEM, TEM, FTIR, etc.), as well as testing and data analyses. The candidate must possess knowledge and practical experience with state-of-the-art mixed metal oxide catalyst fabrication, characterization, and reaction engineering. Knowledge and hands-on experience is required in the understanding of the structure and behavior of these materials in different gaseous and reaction environments. Experience in areas of slurry chemistry and coatings would also be desired, but not a pre-requisite for the position. The selected candidate will research closely with the team as well as other researchers at NETL for the development of mixed metal oxide catalysts for the conversion of different hydrocarbon fuels into products (e.g. syngas).
Ineligible
No
None
No
40
Day
Professional
Research Scientist",3.9,"Leidos
3.9","Morgantown, WV",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Materials Scientist (pH Sensing Layer),$81K - $163K (Glassdoor est.),"Description
Job Description:
An opportunity exists within the RSS Contract at National Energy Technology Laboratory (NETL)-Pittsburgh to join an interdisciplinary team developing new sensor technologies for a range of energy applications spanning power generation, advanced manufacturing, and infrastructure monitoring, with an emphasis on subsurface environments and natural gas infrastructure. NETL is a multi-disciplinary, scientific and technical-oriented national laboratory and the U.S. Department of Energy’s primary lab supporting fossil fuel-based energy and carbon management research. The scientist/researcher will collaborate on an interdisciplinary team spanning industry, academic, and national laboratory partners that seeks to develop and demonstrate advanced sensors and enabling technologies for energy infrastructure monitoring applications.
Ineligible
No
None
No
40
Day
Professional
Research Scientist",3.9,"Leidos
3.9","Pittsburgh, PA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Analyst Lead,$81K - $163K (Glassdoor est.),"Data Analyst Lead
Job Number: 168919

As a Data Analyst Lead in our Claims Control group, biannually you will focus on an in-depth analysis of claims trends along with root cause analysis, identification of internal/external drivers and impact assessment. You will collaborate with business partners across the company to gain/share knowledge of trends impacting our business. The analysis that is shared with senior leaders provides insights that help drive our claims process agenda. In addition to the highly complex analyses that is in support of the claims process areas (e.g. property, injury, etc.), there is a variety of ad-hoc analyses with minimal regular reporting responsibilities. Working alongside the claims data science and business intelligence teams offers the potential to learn new technical skills and assist on highly technical analyses, including predictive analytics and forecasting.

Must have qualifications:",3.1,"Progressive
3.1","Mayfield Heights, Cuyahoga, OH",1001 to 5000 Employees,1990,Company - Public,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD)
Data Science Internship,$81K - $163K (Glassdoor est.),"No Relocation Assistance Offered
# 107724 - Piscataway, New Jersey, United States
Colgate-Palmolive invites you to apply for the Summer 2021 Data Science Internship for the Global Information Technology (GIT) organization. Colgate is more than just another brand - whether it is research, product development, marketing, or optimization, we are always looking for new, efficient ways to serve our customers and continue to create a brand people can rely on. In this 6-month program, you will help identify areas of potential insights within our business teams and work alongside data scientists using state of the art machine learning techniques to deliver meaningful results.

Responsibilities will include:
Use statistics and machine learning techniques to explore and understand relationships within datasets.",4.2,"Colgate-Palmolive
4.2","Piscataway, NJ",10000+ Employees,1806,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
DATA SCIENTIST - ENGINEERING,$71K - $126K (Glassdoor est.),"Job Description and Qualifications
Air Products (NYSE: APD) is a world-leading Industrial Gases company in operation for over 75 years, has an immediate opening in our Smart Systems Computational Technology team for a creative and inquisitive engineer based at our Corporate Headquarters in Allentown, Pennsylvania. The AP develops world-scale energy and industrial gases projects provides renewable and sustainable energy solutions as well as atmospheric and process gases and related equipment to manufacturing markets, including refining and petrochemical, metals, electronics, and food and beverage. Air Products is also the world’s leading supplier of liquefied natural gas process technology and equipment.

Smart System Team is a part of the Computational Technology organization. Air Products Product lines, Engineering, procurement, and construction activities rely on the team to improve the competitiveness of our EPC work process and implement world-class digital solutions to achieve a high-performing project execution organization. The team delivers competitive digital technology advancements for AP across EPC, Product, Operation, and R&D areas, including enterprise applications, unique engineering and R&D data solutions, and data sciences analytics solutions. The research engineers work with the entire Technology, Product Line, EPC, and operational teams, to deliver world-class solutions from data solutions to advanced AI.

The successful candidate will lead projects and development work supporting and deploying world-class unique data and AI technology solutions for AP engineering. The candidate will be leading development projects to design, develop and test data and analytics solutions and supervise software engineers. The candidate will work as part of cross-functional research, engineering, and IT teams developing conceptual and detailed digital solutions, AI analytics, and work automation solutions. This position requires a broad engineering information management background and a deep understanding of data architecture, advanced analytics, and application development. The candidate will be required to solve various problems, which involve complex engineering work processes, complex data relations, advanced analytics, and cloud-based infrastructure. This position involves up to 10% travel to global locations.

Existing project areas where the candidate can expect to be involved include:
The candidate will be expected to learn company processes, software, and cloud infrastructure as needed for specific projects. To that end, the following skills will be beneficial:


At Air Products, we work in an environment where diversity is essential, inclusion is our culture, and each person knows they belong and matter. To learn more, visit About Air Products.

We offer a comprehensive benefits package including paid holidays and vacation, affordable medical, dental, life insurance and retirement plans. You will be eligible for benefits and also be 100% vested in your retirement benefits on your first day of employment.

We are an Equal Opportunity Employer (U.S.). You will receive consideration for employment without regard to race, color, religion, national origin, age, citizenship, gender, marital status, pregnancy, sexual orientation, gender identity and expression, disability, or veteran status.",3.9,"Air Products
3.9","Allentown, PA",10000+ Employees,1940,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD)
Data Scientist,$78K - $147K (Glassdoor est.),"Job Summary
Selux is a Boston-based company developing clinical microbiology diagnostic solutions to combat the antibiotic resistance epidemic. The company is seeking a self-motivated, versatile Data Scientist to join our Algorithm Team. This position requires advanced knowledge of Python in addition to machine learning skills.
Duties and Responsibilities
Develop and tune machine learning models
Use visualization tools and statistical techniques to identify patterns in data and engineer new features
Communicate model performance, analysis results and tradeoffs to stakeholders
Participate in development and maintenance of Python software that automates creation, training, selection, and evaluation of machine learning pipelines at scale",4.7,"Selux Diagnostics
4.7","Charlestown, MA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"Scientist, Product Development",$94K - $178K (Glassdoor est.),"Our client is a global leader in cell-free DNA (cfDNA) testing with a focus on women’s health, oncology, and organ health. Who is on a mission is to change the management of disease worldwide by using information gained from a simple blood draw to proactively inform treatment. They are looking for a Scientist who Initiates, directs and executes pre-clinical scientific research and development in the Molecular Biology Research team. Focuses on advancing client’s oncology product portfolio and works within a research team inventing and evaluating new technologies for applications in oncology, transplant and NIPT. Investigates the feasibility of applying a wide variety of scientific principles and concepts to potential inventions, products and problems. Plans, executes and manages laboratory research. Maintains broad knowledge of state-of-the-art principles and theories.
Responsibilities
Contributes substantially and intellectually to research and development
Competitive Benefits. Healthy catered lunches, Premium snacks and beverages, Onsite gym with cardio and weight-training equipment, Game room with satellite TV, Onsite dry cleaning and alteration service with pick-up and delivery, Employee-organized sport leagues, Happy hours and BBQs, Generous Employee Referral program.",4.0,"Bevov
4.0","San Carlos, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Senior Composites Scientist,$105K - $192K (Glassdoor est.),"Senior Composites Scientist
You will have the opportunity to provide hands-on technical leadership developing state-of-the-art nanomaterials using advanced techniques and instruments for materials characterization in a fast-paced supportive environment with coworkers of diverse backgrounds.
We are a well-funded fast-growing stealth-mode company located in San Jose, CA. Our company has developed a breakthrough technology to custom design and manufacture 3D graphene and other carbon allotropes. Graphene has the promise to transform many industries because of it's astounding properties. It's over 200 times stronger than steel, flexible, transparent, a great thermal conductor and the most conductive material that we know exists. The list of possible applications is expansive including game-changing battery electrodes, transparent touch displays, innovative composite materials, IoT sensors and solar panels just to name a few.
Our leadership team is seasoned in leading startups from an early stage to multibillion-dollar companies. Our development teams have extensive experience in successfully launching products from concept to production. As validation that we are on the forefront of this coming transformation, we have acquired multiple revenue producing commercial and government contracts and have opened a new facility in San Jose to scale our production and accelerate our growth in key product development areas.",-1.0,Stealth Mode Startup Company,"San Jose, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Senior Data Engineer,$81K - $155K (Glassdoor est.),"CareJourney’s mission is to empower individuals and organizations they trust with open, clinically-relevant analytics and insights in the pursuit of the optimal healthcare journey. We are a fast-growing start-up in Arlington, VA that builds software products to serve industry-leading customers that include Pfizer, Humana, and Microsoft. Our founders and leadership developed the policy and technology in the public and private sector that shape the work we do today. We are looking for driven professionals that are excited to join a growing business where they will have a strong voice in the direction and success of the company. Our culture embraces teamwork and cross-functional collaboration for a fun and exciting environment.

Our team is looking for a talented, motivated, and high-performing Senior Data Engineer to join our team.
Key Responsibilities
Serve as a technical lead on initiatives, projects and implementations.
Support and develop data flows by developing processes that verify, standardize, and scale data input, transformation and storage.",3.6,"CareJourney
3.6","Arlington, VA",51 to 200 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Science and Engineering Director,$91K - $187K (Glassdoor est.),"Logistics done differently.
At XPO Logistics, we believe state-of-the-art technology drives our success. As the Data Science and Engineering Director, you will be responsible for end-to-end solutions for our data science and machine learning capabilities such as selection, development, execution and operations. You will also play a pivotal part in the evolution and growth of our data science, artificial intelligence (AI) and machine learning capabilities. We want to leverage your skills and years of experience to drive positive results while ensuring a bright future for yourself and XPO.

Pay, benefits and more.
We are eager to attract the best, so we offer competitive compensation and a generous benefits package, including full health insurance (medical, dental and vision), 401(k), life insurance, disability and the opportunity to participate in a company incentive plan.",3.6,"XPO Logistics
3.6","Portland, OR",10000+ Employees,2011,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD)
Customer Analytics Manager,$77K - $167K (Glassdoor est.),"Overview:
Are you looking for a role where you can directly influence an organization in high growth mode? Do you have a knack for solving problems? Do you want to help drive the results of a multi-million-dollar business? If so, you may have found your next role.

We are looking for a self-motivated individual to join our Analytics organization and deliver data-driven insights to key stakeholders at the executive and senior management level. The role will require managing a 360° analytical view of the customer lifecycle and product strategy; you will be accountable for delivering comprehensive analyses to increase lifetime customer value (LCV), decrease customer acquisition cost (CAC), examine macro trends impacting our business and improve retention.

The role currently manages an analyst resources and expect additional team growth within over the next year. The ideal candidate will come with management experience. This role will also require developing strong relationships with executives, senior leaders, and managers across the organization. Intellectual curiosity, ownership, and detail-orientation are requirements for the role and the department.

Responsibilities:
Qualifications:",3.8,"Strategic Financial Solutions
3.8","New York, NY",501 to 1000 Employees,2007,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable
Scientist II,$56K - $105K (Glassdoor est.),"This role supports the new Rapid Diagnostics Solutions (RDS) business unit in San Diego, California, part of the group of diagnostics businesses at Thermo Fisher Scientific. We are focused on increasing access to affordable innovations in diagnostic testing and enabling data-driven decisions. What we do matters because our work has a direct impact on people’s lives, and we take that responsibility seriously.

How will you make an impact?

The Scientist II will work to develop rapid, point-of-care molecular diagnostic assay products. This position is responsible for developing and validating assay chemistry, integrating chemistry with proprietary instrumentation, coordinating product development between R&D and Engineering, and assist in design transfer to manufacturing in an ISO 13485 environment. Daily activities include: the initial assay development to meet product requirements, feasibility experimentation, composition of SOP documents and product transfer into manufacturing, verification and validation testing, and on-going support of transferred products.





At Thermo Fisher Scientific, each one of our 75,000 extraordinary minds has a unique story to tell. Join us and contribute to our singular mission—enabling our customers to make the world healthier, cleaner and safer.",3.8,"Thermo Fisher Scientific
3.8","San Diego, CA",10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Sr. Big Data Engineer,$77K - $148K (Glassdoor est.),"Do you want to be part of the transformation that's accelerating a truly data-driven company? Are you ready to collaborate and innovate with a team responsible for changing the customer experience using the latest technologies? As a Senior Big Data Developer on the GEICO IT squad, you’ll thrive in a fast-paced, innovative culture that turns data into information and uses that information to drive action. One focus is our Single View of the Customer (SVOC) initiative. As part of this team you will be designing, creating, and populating customer centric data stores necessary for deriving valuable insights in real time to provide tailored customer experiences. As a senior developer you will have the opportunity to mentor more junior associates and help grow our team.
Qualifications
At least 3 years of programing experience in Java and Spring technologies
At least 2 years of programming experience working with Spark on big data; including experience with data profiling and building transformations",3.4,"GEICO
3.4","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
Material Scientist - Tribology,$46K - $90K (Glassdoor est.),"Introduction
JoinASML Wilton today to receive your sign on bonus and relocation.
Offer valid for Wilton, CT new hire offers made between now and December15, 2021.
ASML US brings together the most creative minds in science and technology to develop lithography machines that are key to producing faster, cheaper, more energy-efficient microchips. We design, develop, integrate, market and service these advanced machines, which enable our customers - the world’s leading chipmakers - to reduce the size and increase the functionality of their microchips, which in turn leads to smaller, more powerful consumer electronics. Our headquarters are in Veldhoven, the Netherlands, and we have 18 office locations around the United States including main offices in Chandler, Arizona, San Jose and San Diego, California, Wilton, Connecticut, and Hillsboro, Oregon.",4.1,"ASML
4.1","Wilton, CT",10000+ Employees,1984,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD)
Scientific Data Modeler,$52K - $110K (Glassdoor est.),"SCIENTIFIC DATA MODELER
LAWRENCEVILLE, NJ
The candidate must be able to work onsite once the WFH policy is lifted, so local is preferred.
Project Description:
The candidate will significantly contribute to the development of the modern data services for the Client’s scientists.
The role requires deep expertise in designing and managing highly relational, graph structured research data models for the Client’s Research Data Commons initiative.
You should have excellent business and interpersonal skills to be able to work with scientific researchers to understand data requirements, and to build models to ingest metadata into the Client’s Research Data Commons.",4.5,"Alpha Consulting
4.5","Lawrenceville, NJ",201 to 500 Employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Clinical Laboratory Scientist (Full Time),$75K - $154K (Glassdoor est.),"The Clinical Laboratory Scientist is responsible for overseeing laboratory operations and performing andrology and endocrinology procedures. The clinical laboratory scientist participates in and ensures quality assurance and improvement activities on an ongoing basis.
CCRM is an industry leading pioneer in fertility science, research and advancement, offering access to national network of award-winning physicians, a full suite of fertility services, innovation technology and cutting edge labs. CCRM is currently comprised of eleven locations spanning the U.S. and Canada with growth planned for continued network development on a domestic and international basis.
ESSENTIAL FUNCTIONS:
Help oversee clinical lab operations- including managing staff and documentation.
Provides Andrology services, including semen analysis (high complexity test), IUI preparation and cryopreservation to clinical laboratory patients according to established procedures and protocols",3.8,"CCRM
3.8","San Jose, CA",1 to 50 Employees,-1,Self-employed,Health Care Services & Hospitals,Health Care,Less than $1 million (USD)
Clinical Laboratory Scientist,$101K - $116K (Glassdoor est.),"Head of Product – Patient Insights
Octave combines deep data with profound empathy to supercharge our comprehensive approach to improving outcomes in neurodegenerative diseases, starting with MS. Our team of data scientists, biologists, clinicians and technologists are bringing their A-game to creating the next generation of clinical care solutions.
If you are at the point in your career where you have built product strategies and teams in the health space and think “I’ve got this” and if you are looking for the next big challenge that will allow you to take everything you know to a problem worth solving, Octave is the place for you.
Using human-tech services we partner with people with multiple sclerosis (PwMS) to understand and act upon the complexities and subtleties they deal with every day. Our platform of apps, sensors and wearables, cutting edge imaging technologies, and novel biomarkers provide the data for our nurses to partner with PwMS to empower them to live their lives with this disease just being one part, not the defining part.",-1.0,Octave Bioscience,"Menlo Park, CA",-1,-1,-1,-1,-1,-1
