vaga,salario_estimado,descricao,nota,nome_empresa,localizacao,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita
Biomedical Informatics Data Scientist,$120K - $140K (Employer est.),"If you're ready to be part of our legacy of hope and innovation, we encourage you to take the first step and explore our current job openings. Your best is waiting to be discovered.

Job Description Summary
The Business Intelligence Analyst will partner with researchers and clinicians to enable effective and efficient use of data and resources available via Stanford’s Clinical Data repository (STARR:
https://starr.stanford.edu/about-starr ) including the Electronic Medical Records in the OMOP
common data format (https://med.stanford.edu/starr-omop.html ), Radiology imaging data and
associated metadata, and new data types as they get integrated along with their databases and
respective cohort query tools and interfaces (eg ATLAS:
https://www.ohdsi.org/atlas-a-unified-interface-for-the-ohdsi-tools/, Montage: ). This individual
will help researchers and clinical staff maximize their understanding, interpretation and use of these
clinical and research tools for more informed and productive research, clinical trials, patient care
and quality outcome projects.",3.9,"Stanford Health Care
3.9","Palo Alto, CA",10000+ Employees,1957,Hospital,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Research AI Engineer,$120K - $140K (Employer est.),"Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
IBM is seeking Research AI Engineer to work at its T. J. Watson Research Center in Yorktown Heights, NY.

You should have proven experience with publication records in some of the following fields: AI and applied Machine Learning, Software Engineering, Software Testing and Analysis of Software Artifacts and Repositories focus areas, and technical leadership potential. As part of the IBM Research team, you will conduct world-class research on innovative technologies and solutions while growing your external eminence in many ways, including publishing in top-tier conferences and journals. You will also contribute to the commercialization of assets resulting from your work that may relate to AI driven analysis of software, AI solutions for hybrid cloud risk and compliance to accelerate and simplify application modernization and adoption of hybrid cloud services for clients. Demonstrated communication skills and ability to work independently, as well as in a team, are highly-desired traits.

PhD in Computer Science or a related area is preferred.

Required Technical and Professional Expertise

Preferred Technical and Professional Expertise


About Business UnitWith more than 3,000 researchers in 12 labs located across six continents, IBM Research brings together hundreds of researchers who possess unparalleled industry expertise to address some of the world's most challenging problems. Join us as we do pioneering work in areas such as cognitive computing, augmented intelligence, quantum computing, and blockchain, to name a few.

Your Life @ IBMAre you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBMIBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countriesIBM's greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we're also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it's time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementIBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work. In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to:


We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.9,"IBM
3.9","Yorktown Heights, NY",10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD)
"Quantum Hardware Test Engineer, Quantum AI",$120K - $140K (Employer est.),"Minimum qualifications:
Bachelor's degree in Electrical Engineering, Physics, a related field or equivalent practical experience
Experience assembling scientific instruments as well as using test and measurement equipment
Experience using Linux

Preferred qualifications:
Experience with hardware test development in a research and development setting
Experience managing technicians in a laboratory environment
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",4.5,"Google
4.5","Goleta, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Science Content Developer,$120K - $140K (Employer est.),"Interview Query is a small data science startup completely remote! Our mission is to help anyone in the data science field pass their interviews and land a data science job with our data science preparation materials.
To help fuel our next phase of growth, we are seeking a high-energy and ambitious Data Science Content Developer to help us with creating learning materials. As a key hire in product and operations, this person's responsibility will be to work on sharing their expertise in data science, analytics, and machine learning to our broader customer base.
You will have the opportunity to work with the founders towards learning how to build a business and grow a business while writing to a target technical demographic. You will have a large scope of responsibility with the ability to see the results of your work reflected immediately. This is a great experience for anyone interested in entrepreneurship.",-1.0,Interview Query,Remote,-1,-1,-1,-1,-1,-1
Data Scientist 1,$120K - $140K (Employer est.),"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 254 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies. The Partner Checkout Analytics team is seeking a Sr. Analyst to join us as an exceptional problem solver with a passion for data insights and a relentless execution focus. Our team is part of the larger Product Analytics organization and we partner with several stakeholders to tackle merchant questions, especially on product performance and optimization, and make sure that PayPal is analytically equipped for these strategic discussions. We cover both branded and unbranded products across PayPal and advise our strategic merchant partners on how to optimize their payment performance and grow with PayPal.",4.1,"PayPal
4.1","San Jose, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,$120K - $140K (Employer est.),"We're looking for a new team member to be our lead Data Scientist at our cutting-edge startup working to bring new underwater data software to market. A candidate should have 5-10 years of experience, preferably in an artificial intelligence field, and must be able to perform dedicated, high-quality work while fitting in to our highly dynamic team. We are a distributed team—remote candidates are welcome. In addition, motivated, qualified team members are selected to participate in our site demonstrations and field expeditions to lakes, caves, the high seas, the Arctic, and Antarctic.
Position Primary duties:
Lead data science projects in the field of underwater data processing.
Maintain the Company’s artificial intelligence expertise.
Design, development, analysis, and test advanced data processing systems.",-1.0,"Sunfish, Inc.",Remote,-1,-1,-1,-1,-1,-1
Data Visualization Engineer,$120K - $140K (Employer est.),"Please note this posting is to advertise potential job opportunities. This exact role may not be open today, but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.
What You'll Do
Have you ever dreamt of joining a highly skilled team to build a groundbreaking product with a start-up spirit, yet the power of the top networking company in the world? This is the mission of our team. We are actively hiring highly skilled engineers, with a true passion for innovation. Our mission is to develop a new generation of routing engine for the Internet deeply using Data Analytics, Machine Learning (ML), and Artificial Intelligence (AI). The size, diversity, and richness of our data are simply unmatched. The Internet is changing fast, and we are too. The objective of this confidential product is to adopt a highly novel and ambitious approach for optimizing networks to better serve applications.
You will have a multi-faceted role, which covers data understanding and storytelling via visual analytics: You thrive in a dynamic environment that requires a rare blend of innovation and speed of execution. You are highly skilled in the trifecta for data visualization: visualization, statistical analysis and storytelling. You love playing with data and finding patterns that tell excellent data stories. You are skilled at extracting insights by applying visualization and statistical techniques from sophisticated, large and diverse datasets. You will research, build and deploy visualization frameworks for large datasets. You pride yourself on your communication and interpersonal skills, a keen eye for both aesthetic design and code. You have an ability to autonomously plan and organize your work assignments based on the objectives of the team. Who You'll Work With
Our team is made of engineers with a very diverse skillset united by their passion and the excitement of turning innovative ideas into products that impact the industry at large.
We love designing and implementing large-scale machine learning pipelines. Our technology stack includes Python, Scala, Go as well as a wide range of internal tools built on top of Apache Spark, TensorFlow, PostgreSQL and the Hadoop ecosystem. Who You Are
An agile, pragmatic, and hardworking engineer with experience in providing simple and intuitive visualization of sophisticated and intricate datasets. You love technology, innovation, and building products at scale.
You hold a degree in Computer Science or a related field with at least 6 years of experience. You can demonstrate a large portfolio of beautiful, intuitive, and interactive infographics that demonstrates your key strengths: Broad experience in turning diverse and sophisticated data into meaningful visualization. Attention to detail and an eye for aesthetic design. Experienced in Javascript (ES6) and data visualization technologies such as D3.js, Canvas, or WebGL. Knowledge of web frameworks (e.g., React) is a plus. Excellent quantitative, analytical, and communication skills; past experience working with mathematicians, scientists, or journalists is valuable. Excellent English spoken and written skills (C1 level) are a requirement. We Are Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!",4.3,"Cisco Systems
4.3","San Jose, CA",10000+ Employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Sun Oak | Data Scientist,$120K - $140K (Employer est.),"About Us:
Sun Oak Capital is the stealth name for a fast-growing company that is transforming the vacation rental industry the way that Uber & Lyft transformed the taxi industry.
Our mission is to help families make memories. We’re passionate about this and hope that you are too.
We have raised a significant amount of capital (not yet announced) from some of the top investors in the world. Our founding leadership team and advisors include industry veterans who have built other pioneering startups and numerous public companies.
Sun Oak is looking for a data scientist with a focus on modeling what attributes of a home make for a great short-term rental investment. How far from the beach should we buy? Is it worth building a pool? What other amenities drive a significant increase in rental rates? Which regions should we expand into? Should we buy this particular home given current market conditions? How can we improve our operation efficiency? The work has high visibility and influences both long-term business strategies and day-to-day business operations. You will collaborate with data engineers, real estate analysts, and product managers to build a world-class investment engine. This role will have the exciting opportunity to be an early team member at a well-resourced and fast-growing company.",-1.0,Sun Oak,"Miami, FL",1 to 50 Employees,2018,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Machine Learning Engineer,$120K - $140K (Employer est.),"Role: Sr. Machine Learning Engineer/Architect
Duration - 1 year
Job Description
* Experience applying various machine learning techniques and understanding the key parameters that affect their performance.
* Experience developing experimental and analytic plans for data modeling processes, use of strong baselines, and the ability to accurately determine cause and effect relationships.
* Understanding on statistical evaluation & applied math. Hands on with any of these products Python/R/SAS",-1.0,Agile N2N Inc,Remote,-1,-1,-1,-1,-1,-1
"Co-op, Data Analytics",$120K - $140K (Employer est.),"Insulet started in 2000 with an idea and a mission to enable our customers to enjoy simplicity, freedom and healthier lives through the use of our Omnipod® product platform. In the last two decades we have improved the lives of hundreds of thousands of patients by using innovative technology that is wearable, waterproof, and lifestyle accommodating.
We are looking for highly motivated, performance driven individuals to be a part of our expanding team. We do this by hiring amazing people guided by shared values who exceed customer expectations. Our continued success depends on it!
Job Title: Co-op, Data Analytics
Department: Analytics Center of Excellence
Manager/Supervisor: Manager, Analytics COE",3.3,"Insulet Corporation
3.3","Acton, MA",1001 to 5000 Employees,2000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD)
Data Scientist,$120K - $140K (Employer est.),"TWO NIL is a growth consultancy that uses a holistic approach to create profitable go to market campaigns – at scale. We provide clients with vertically integrated, unbundled solutions across their acquisition marketing needs, from strategy & planning to execution and optimization & modeling/forecasting. Our clients represent best of breed brands across a diverse range of verticals and geographies.

The Data Scientist develops models and statistical analyses to predict marketing outcomes (e.g. sales and revenue) and understands the impact of advertising investments across multiple channels for companies in various industries. The Data Scientist will be responsible for data prep, model development, model deployment, and maintenance to ensure quality and accuracy. Will provide analytical support to drive business insights for marketing and advertising campaigns. This position requires strong analytical skills in understanding and applying machine learning and optimization techniques as well as the experience in developing in-production data science applications.


Develop innovative modeling approaches for better understanding of the consumer response and the impact of advertising across multiple channels.

Apply state-of-the-art optimization algorithms to guide efficient media budget allocation.

Partner with consulting team to generate actionable recommendations to help clients make data-driven marketing decisions.

Collaborate with Data Engineering in productionizing and deploying data science applications.

Document technical details of work to improve collaboration with other team members.

Guide and mentor junior analysts in best practice regarding methodology.

Keep pace of development in marketing research and continuously drive best practices in the development environment.


Master's degree or above in statistics, computer science, data science, mathematics, economics or other quantitative field

2+ years professional work experience in statistical analysis and model development

Deep understanding of machine learning algorithms and experienced in applying them in real life problems

Experience in applying advanced Bayesian modeling techniques is a plus

Proficiency in querying databases (SQL) and leveraging programming languages (Python etc.) to analyze complex datasets

Familiarity with end-to-end data science workflow and various model deployment methods

Working knowledge in relational database and Amazon Web Services: Redshift, S3, Athena, etc.

Demonstrated problem solving and analytical reasoning skills

Excellent interpersonal, verbal and written communication skills

Experience in marketing analytics and advertising is a plus


Competitive compensation package

Unlimited paid time off policy

Flexible working hours

Benefits (Health, Dental, Vision, Life Insurance, 401k, Flexible Spending Account, fitness reimbursement, parental leave and more)

Community/Volunteer Service – up to 40 hours of paid time off

Catered lunches and stocked kitchen with fresh fruit, snacks, premium coffee & tea, and cold brew coffee

Ongoing learning and classes for employees

Team events and outings

Our team is working remotely due to COVID-19, this is subject to change


Founded in 2011, TWO NIL is a leading growth consultancy with strategy, analytics, and media activation at its core, serving the top direct-to-consumer brands. TWO NIL provides clients with unbundled solutions across their acquisition marketing needs, from growth strategy to execution, media activation, optimization and forecasting. Headquartered in Los Angeles, California, TWO NIL is a trusted guide to corporations across the nation, including 23andMe, Bombas, Dollar Shave Club, Experian, Glassdoor, Blue Apron, RxSense, and many others. To learn more, please visit https://www.twonil.com/ .",2.9,"TWO NIL
2.9",California,1 to 50 Employees,2019,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
"Data Scientist, Analytics - Facebook for Business",$120K - $140K (Employer est.),"Our Facebook for Business ( FB4B ) team's mission is to create economic opportunity by fostering meaningful connections between people and businesses. We build products that make it easier for businesses to connect to prospective customers and easier for customers to find and engage with businesses that they love - all while keeping privacy and user consent top of mind. Our work touches both sides of the ads marketplace, which means that building great products involves understanding what sits at the intersection of advertiser value and user value.We are looking for a strong Data Scientist to be part of our F4B team. Our current products include both ads and monetization products (such as Facebook Stories and Watch monetization, lead generation ads), in particular our business-facing products. You will have the opportunity to build and grow several multi-billion dollar businesses from an early stage.An ideal fit for this role is a Data Scientist with deep technical knowledge and expertise in quantitative analytics (e.g. causal inference, hypothesis testing, prediction modeling, and root-cause analysis), with the ability to turn data into business insights, and excellent communication and leadership skills. This role in particular will involve working with raw event level data on a regular basis. The data scientist must be able to operate autonomously and scope out large analytical projects that deliver impact.",4.3,"Facebook
4.3","Menlo Park, CA",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD)
Early Career Data Scientist,$120K - $140K (Employer est.),"Arundo is a software company based in Houston, TX, and Oslo, Norway; with presence in 6 locations in Europe and the Americas. Our software enables advanced analytics, machine learning, and IoT applications for more efficient, safer, and more effective physical systems in heavy industries such as energy, chemicals, maritime, renewables and OEMs. Founded in 2015, Arundo currently consists of around 40 software engineers, data scientists, designers, and industrial domain experts.

Our team members are passionate about being part of a company that can solve tough problems and create innovative solutions. We believe in a fun environment, where our people can be fearless and feel empowered to always do the right thing. Arundites come from many different backgrounds including academia, industry, and even a submarine! We look for smart, creative thinkers with a player-coach mindset who can wear multiple hats and contribute to the company's exciting future! And finally; we are 16 different nationalities and speak 15 different languages.
The role

We are looking for an early career Data Scientist to join our high-performing project delivery and product team in Houston who are developing data-driven software products for time series based equipment monitoring in asset industries including energy, chemicals and renewables. Our Data Science team is responsible for the development of analytical solutions for our customers, from initial feasibility studies to the deployment and maintenance of machine learning models at scale using our cloud and edge based products. We are a startup and move at a fast pace so the preferred candidate will have proven experience of producing results quickly in either a business or academic environment. You should be enthusiastic, a fast learner, have a good understanding of statistics fundamentals as well as experience applying machine learning methods to data using Python. The role will require regular presence in our office space which is in a hosted community of several exciting startup companies. There will be flexibility to work from home some days of the week.


Extracting value from customer data via the application of statistical and machine learning methods while working closely with Arundo's project team and the client's subject matter experts

Deployment and maintenance of machine learning models using Arundo's cloud and edge based products

Who are we looking for?

Academic

A degree in computer science, statistics, physics, engineering or a related field with focus on data analysis and modeling. A graduate degree or comparable experience in industry is preferred.

Technical skills and work experience

You have a proven ability to work quickly and to a high standard in either a business or academic setting
You have a strong familiarity with statistics and machine learning fundamentals
You have experience with common Python Data Science libraries (pandas, scikit-learn etc.)
You have experience with standard open source data science tools such as Jupyter and collaborative software tools such as GitHub
You have the ability to self organize and work independently within a project team
You are enthusiastic and a fast learner

We further believe that you will have experience with and/or an interest in learning about the following:

Developing analyses using time series data sources
Application and development of anomaly detection techniques
Experience in a customer facing role
The ability to communicate technical concepts to non-technical stakeholders via presentations and formal reports
Use of cloud based technologies
Experience with Machine Learning Engineering and MLOps
Signal processing and vibration analysis
SaaS product development methods and tools
Professional software development experience in a team setting
Development of mobile or web applications

Who we are and what we offer

A values driven company with an inclusive and autonomous culture
We welcome candidates from all backgrounds and demographics
We value nice, enthusiastic people, who happen to be very good at what they do
We strive to provide an environment that fosters professionalism and employee growth
We are a group of highly talented, accomplished, and dedicated colleagues
Collaborative environment with our offices in the US and in Europe
Fun environment - we take fun seriously and have appointed a VP of Fun and have regular team building activities
Collaboration with Stanford/StartX and MIT/STEX25
Competitive salary and participation in the employee stock option program
Benefits plan including 401k retirement plan

Location

Houston, Texas, USA (full remote work is not an option, in-person interaction is required, there will be flexibility to work from home for some days of the week)
Travel

Required travel to customer location in the greater Houston area; all face to face meetings will be held in a responsible manner adhering to local government guidelines and customer HSE policies for Covid-19.


You are able to successfully pass a pre-employment background check and drug screen

You are able to work for any US employer without requiring sponsorship

Disclaimer

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

This job description is intended to describe the general nature and level of the work being performed by individuals in the position. It is not intended to include every job duty and responsibility specific to the position. Arundo reserves the right to amend and change responsibilities to meet business and organizational needs as necessary.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",4.0,"Arundo Analytics
4.0","Houston, TX",51 to 200 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Entry Level Data Scientist,$120K - $140K (Employer est.),"CALSTART is seeking a highly motivated, experienced, and results-oriented Entry-Level Data Scientist (DS) who will play a critical role in developing CALSTART's data storage infrastructure, including maintaining an application programming interface (API) for users to access a wide variety of data derived from clean transportation programs throughout the country. The DS will create automated workflows to ingest data from a variety of sources before loading into a relational database and/or storing in raw formats in a backed-up file system. The DS will develop routines to calculate metrics at the levels of vehicle, fleet, project, and various spatial hierarchies (i.e. zip code or county). These metrics will then be served through an API for access internally and externally by authorized clients via web and desktop applications. The DS will work with CALSTART staff, external parties, and prospective users to develop the workflows, API, and reports.
The Data Scientist will also:",4.0,"CALSTART
4.0","Pasadena, CA",51 to 200 Employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD)
Data Scientist - DeepArmor,$120K - $140K (Employer est.),"SparkCognition catalyzes sustainable growth for their clients throughout the world with proven artificial intelligence (AI) systems, award-winning machine learning technology, and a multinational team of AI thought leaders. Clients are trusted with advancing lives, infrastructure, sustainability, and financial systems across the globe. They partner with SparkCognition to understand their industry’s most pressing challenges, analyze complex data, empower decision-making, and transform human and industrial productivity. With our leading-edge artificial intelligence products, our clients can adapt to a rapidly changing digital landscape and accelerate their business strategies.
We are looking for an innovative Data Scientist to join our DeepArmor Team to help evolve the next generation of endpoint protection and artificial intelligence solutions in the Cybersecurity field. At SparkCognition, you will immerse yourself in working with the latest data science technologies to power the next-generation endpoint protection product, DeepArmor.",4.3,"SparkCognition
4.3","Austin, TX",51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Fellow, Data Science, University Students - QuantumBlack",$120K - $140K (Employer est.),"Qualifications
Master's or PhD candidate in their final year in the field of computer science, machine learning, applied statistics or mathematics with expected graduation date of December 2021 or May 2022
Experience in statistical modelling and machine learning techniques
Programming experience in at least two of the following languages: R, Python, Scala, SQL
Experience in applying data science methods to business problems
Experience in applying advanced analytical and statistical methods in the commercial world",4.4,"McKinsey & Company
4.4","East Boston, MA",10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Scientist - Contract-to-Hire 100% Remote,$120K - $140K (Employer est.),"Company Description
CoEnterprise is an award-winning B2B software and professional services company headquartered in New York City. Founded in 2010, CoEnterprise delivers Supply Chain and Business Analytics solutions and services that transform how companies connect and do business. CoEnterprise approaches each relationship and engagement from the perspective of three core values: collaboration, ownership, and excellence. We value collaboration with both our partners and clients in order to present the best possible outcome for our customers. Our vow to accept ownership ensures that our entire staff takes pride in our work and it is our commitment to excellence that ensures that this work is at the highest standard possible.
Job Description*_
Technical aspect of the JD_*
A candidate for this position must have had around 8-10 years of total IT experience and have spent at least 4 years working in the data science domain within a fast-paced and complex business setting, preferably working as a Data Scientist.",3.6,"CoEnterprise, LLC
3.6","New York, NY",51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
"Data Scientist, Scientific Analytics",$120K - $140K (Employer est.),"About AbbVie
AbbVie’s mission is to discover and deliver innovative medicines that solve serious health issues today and address the medical challenges of tomorrow. We strive to have a remarkable impact on people’s lives across several key therapeutic areas: immunology, oncology, neuroscience, eye care, virology, women’s health and gastroenterology, in addition to products and services across its Allergan Aesthetics portfolio. For more information about AbbVie, please visit us at www.abbvie.com. Follow @abbvie on Twitter, Facebook, Instagram, YouTube and LinkedIn.

Clinical Analytics is an ambitious team of Data Scientists with a unique blend of Business, Scientific, and Machine Learning expertise that seeks to unleash the full potential of AbbVie’s data assets by bringing technology and/or data and insights to the forefront of decision making via fit-for-purpose data analytics solutions. The scope and impact of Clinical Analytics continues to broaden as we constantly explore new opportunities to disrupt clinical development. We collaborate closely with stakeholders to outline the problem, explore solutions, refine opportunities, and deliver a product with a continuous innovation mindset.






N/A

No

Experienced

Full-time

IC

At AbbVie, we value bringing together individuals from diverse backgrounds to develop new and innovative solutions for patients. As an equal opportunity employer we do not discriminate on the basis of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information gender identity or expression, sexual orientation, marital status, protected veteran status, or any other legally protected characteristic.",3.9,"Abbvie
3.9","Crystal Lake, IL",10000+ Employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$120K - $140K (Employer est.),"Role: Sr. Data Scientist/Sr. Platform Engineer - Data Science
Location: Austin TX
Duration: Fulltime
Visa: US Citizens only
Work Arrangement: 1-2 days/week onsite
Position Description:
The client's data science platform team supports internal clients across Technology and Business teams by writing python tools and libraries or integrating open source solutions, enabling teams to implement data science projects and applications. We are looking for a senior python engineer who can design and write modular code with the aim of solving business problems while creating reusable components.",4.5,"Tekcogno
4.5","Austin, TX",1 to 50 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
Junior Data Scientist,$120K - $140K (Employer est.),"Company: Barchart
Title: Junior Data Scientist
Location: Chicago
Description
The Junior Data Scientist will work within the Commercial and Product teams to position, build, and market Barchart’s products and services to current and prospective customers. Responsibilities will revolve around data integrations covering global commodity prices, fundamental data (supply / demand), and weather through programmatic means (Python). The analyst will also provide ongoing support for our Data Product Manager.",4.7,"Barchart
4.7","Chicago, IL",51 to 200 Employees,-1,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable
Lead Data Scientist,$120K - $140K (Employer est.),"Strong technical skills on machine learning/AI with proven track record. These technical skills include, but not limited to, regression techniques, neural networks, decision trees, clustering, pattern recognition, probability theory, stochastic systems, Bayesian inference, statistical techniques, deep learning, supervised learning, unsupervised learning, Reinforcement Learning
Strong technical knowledge on big data technologies, AWS AI/Client platforms such as SageMaker
Outstanding track record of successful solutions design in the digital space
Experienced in using AI/Client platforms, technologies, techniques (e.g. TensorFlow, Apache MXnet, Theano, Keras, CNTK, scikit-learn, H2O, Spark MLlib, etc).
Proficiency with SQL and NoSQL databases",-1.0,Talentica Software,"Malvern, PA",-1,-1,-1,-1,-1,-1
Data Science (Associate) Scientist,$120K - $140K (Employer est.),"Job responsibilities:
1. Optimize biologics lead discovery process alongside discovery platform team by enhancing high throughput screening and automation concept.
2. Comfortable working with and maintaining state-of-art equipment related to discovery.
3. Manage and process large quantities of data and report in the most informative fashion.
4. Master cutting edge technologies such as NGS and single B cell platforms as related to target and lead identifications.
5. Exercises good lab practice wherever applicable and report to supervisors in timely fashion.",-1.0,"Innovent Biologics(Suzhou)Co.,Ltd.","Rockville, MD",-1,-1,-1,-1,-1,-1
Data Scientist,$120K - $140K (Employer est.),"Data Scientist (Enterprise Data Solutions)
100 Amica Way, Lincoln, RI 02865
Want to join a company where doing good is what we do?
The feeling is mutual!
Responsibilities:
Guide and inspire the organization about data science business potential and strategy.
Identify data-driven business opportunities and recommending analytic projects to leaders.
Understand business objectives, defining modeling goals, and evaluating analytical approaches.",4.0,"Amica Insurance Company
4.0","Lincoln, RI",1001 to 5000 Employees,1907,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Principle Data Scientist,$120K - $140K (Employer est.),"Overview:
We are a 6-year-old growing insurance technology startup looking to build out and refine our NLP capabilities for the mining of unstructured and quasi-structured data.
Role:
The Principal Data Scientist must be an expert in the full data life cycle with commercial production experience in NLP. The candidate must review the data we have, understand the business problems we are trying to solve, and craft the best solutions given the limitations of data, and the current state of various NLP technologies. In addition, the Principal Data Scientist must produce deliverable results and take them from development to production in collaboration with our engineers.",-1.0,LineSlip Solutions,Remote,-1,-1,-1,-1,-1,-1
